Club/Org Name,Funding,Date,Category
Society of Cosmetic Chemist:  Chapter,250.0,01.13.2025,Professional - STEM
Comunidad Latinx Graduacion,33000.0,01.13.2025,Cultural
Vietnamese Student Association,275.0,01.13.2025,Cultural
REALITY,79.09,01.13.2025,Arts/Performance
Move@UCSB,272.04,01.13.2025,Research
AS External Vice President for Statewide Affairs,20929.0,01.27.2025,Associated Students
UCSBreakin',3350.0,01.27.2025,Arts/Performance
Vietnamese Student Association,24700.0,01.27.2025,Cultural
Women In Business,1000.0,01.27.2025,Professional - Finance/Business
Laughology,12000.0,01.27.2025,Arts/Performance
Pre-Physician Associate Organization,64.5,01.27.2025,Professional - Healthcare
Data Science,14600.0,01.27.2025,Professional - STEM
Society of Asian Scientists and Engineers,3500.0,01.27.2025,Professional - STEM
American Institute of Chemical Engineers,435.0,01.27.2025,Professional - STEM
YouthBridge Housing CA,50.0,01.27.2025,Community Service
Vietnamese Student Association,600.0,01.27.2025,Cultural
Floating Doctors,360.0,01.27.2025,Professional - Healthcare
Gauchos in Business,1850.0,01.27.2025,Professional - Finance/Business
Crescendo for a Cause,664.0,01.27.2025,Community Service
Hindu YUVA,79.07,01.27.2025,Religious
Pre-Law Society,200.0,01.27.2025,Professional - Civic
Horizons Incentive Program,55.0,01.27.2025,UCSB Programs
Chinese Student Union,150.0,01.27.2025,Cultural
VocalMotion,3021.08,01.27.2025,Arts/Performance
Dancesport,950.0,01.27.2025,Arts/Performance
VocalMotion,1500.0,01.27.2025,Arts/Performance
Naked Voices A Cappella,1500.0,01.27.2025,Arts/Performance
Dhadkan,1845.0,01.27.2025,Arts/Performance
Model United Nations,2375.0,01.27.2025,Professional - Civic
Alpha Kappa Psi,2686.23,01.27.2025,Fraternity/Sorority
Model United Nations,5000.0,01.27.2025,Professional - Civic
Persian Student Group,12279.0,02.03.2025,Cultural
Undergraduate Diversity and Inclusion in Physics,150.19,02.03.2025,Professional - STEM
El Congreso de,17593.25,02.03.2025,Cultural
Delta Kappa Alpha,8000.0,02.03.2025,Fraternity/Sorority
Dancesport,145.0,02.03.2025,Arts/Performance
Indus,106.29,02.03.2025,Cultural
Filipinx Association for Health Careers,3120.0,02.03.2025,Professional - Healthcare
Kapatirang Pilipino,13700.0,02.03.2025,Cultural
Weightlifting,5000.0,02.03.2025,Sports/Fitness
Sigma Alpha Zeta Multicultural,1807.0,02.03.2025,Fraternity/Sorority
Collegiate Chapter of SAE International AKA Gaucho Racing,6800.0,02.03.2025,Professional - STEM
Association for Computing Machinery,460.22,02.03.2025,Professional - STEM
Association for Computing Machinery,2000.0,02.03.2025,Professional - STEM
Badminton,4650.0,02.03.2025,Sports/Fitness
Sociology Association,46.0,02.03.2025,Academic
Trebled Waters A Cappella,4500.0,02.03.2025,Arts/Performance
Women In Business,711.0,02.03.2025,Professional - Finance/Business
Women In Business,729.5,02.03.2025,Professional - Finance/Business
YouthBridge Housing CA,100.0,02.03.2025,Community Service
Moot Court,1250.0,02.03.2025,Professional - Civic
Reel Loud Film and Arts Festival,23603.94,02.03.2025,Arts/Performance
REALITY,900.0,02.03.2025,Arts/Performance
Astronomy Society,125.81,02.03.2025,Academic
Girl Up,250.0,02.03.2025,Community Service
Gaucho Sports Analytics Club,32150.0,02.03.2025,Sports/Fitness
Moot Court,2750.0,02.03.2025,Professional - Civic
Professional Fraternity Council,1896.33,02.10.2025,Fraternity/Sorority
Taiwanese American Student Association,160.74,02.10.2025,Cultural
Anthropology Club,1106.09,02.10.2025,Academic
Women In Business,1400.0,02.10.2025,Professional - Finance/Business
"Tricking, Parkour, & Tumbling Club",843.75,02.10.2025,Sports/Fitness
Sociology Association,120.0,02.10.2025,Academic
Google Developers Group,105.04,02.10.2025,Professional - STEM
Dance Company,6515.45,02.10.2025,Arts/Performance
Model United Nations,2060.05,02.10.2025,Professional - Civic
Cheer,9000.0,02.10.2025,Sports/Fitness
Health Profession's Association,369.0,02.10.2025,Professional - Healthcare
Chess Society,435.0,02.10.2025,Recreational/Social
Pre-Law Society,62.0,02.10.2025,Professional - Civic
Girl Gains,528.0,02.10.2025,Sports/Fitness
Pre-Physician Associate Organization,50.0,02.10.2025,Professional - Healthcare
Pre-Physician Associate Organization,198.0,02.10.2025,Professional - Healthcare
Collegiate Chapter of SAE International AKA Gaucho Racing,15000.0,02.10.2025,Professional - STEM
Gauchos Go Green,3100.0,02.10.2025,Sustainability/Environment
Anthropology Club,80.0,02.10.2025,Academic
Taiwanese Student Association,140.0,02.10.2025,Cultural
Taiwanese Student Association,310.98,02.10.2025,Cultural
Moot Court,2530.0,02.10.2025,Professional - Civic
Chinese Student Union,224.0,02.10.2025,Cultural
Gaucho Pep Band,804.1,02.10.2025,Arts/Performance
Gaucho Creative Marketing Group,2037.0,02.10.2025,Professional - Finance/Business
Dhadkan,700.0,02.10.2025,Arts/Performance
Dhadkan,2500.0,02.10.2025,Arts/Performance
Premedical Society,1300.0,02.10.2025,Professional - Healthcare
Club Tennis,10900.0,02.10.2025,Sports/Fitness
SKY Breathwork and Meditation,3500.0,02.10.2025,Sports/Fitness
BFOM A Capella,2400.0,02.10.2025,Arts/Performance
AS Rent Support Program,50000.0,02.10.2025,Associated Students
Triathlon,10456.35,02.24.2025,Sports/Fitness
Muslim Student Association,20097.16,02.24.2025,Religious
Fashion Club,477.13,02.24.2025,Recreational/Social
Ravaani,812.0,02.24.2025,Arts/Performance
Legal Education Association for Diversity,37936.0,02.24.2025,Professional - Civic
Society of Physics Students,1060.0,02.24.2025,Professional - STEM
Persian Student Group,200.0,02.24.2025,Cultural
Los Ingenieros,5994.0,02.24.2025,Professional - STEM
Raices de Mi Tierra,8459.94,02.24.2025,Arts/Performance
TEDx,4275.0,02.24.2025,Academic
Persian Student Group,600.0,02.24.2025,Cultural
Gaucho Pep Band,865.0,02.24.2025,Arts/Performance
UCSBreakin',7869.0,02.24.2025,Arts/Performance
UCSBreakin',1000.0,02.24.2025,Arts/Performance
Swim,10000.0,02.24.2025,Sports/Fitness
Kristos Campus Missions,450.0,02.24.2025,Religious
Taara,2000.0,02.24.2025,Arts/Performance
SB Creative Lab,126.14,02.24.2025,Academic
Santa Barbara Case Club,1000.0,02.24.2025,Professional - Finance/Business
Dancesport,100.0,02.24.2025,Arts/Performance
BFOM A Capella,470.0,02.24.2025,Arts/Performance
Collegiate Sales Society,235.15,02.24.2025,Professional - Finance/Business
Dhadkan,3000.0,02.24.2025,Arts/Performance
Untitled Dance Company,1470.0,02.24.2025,Arts/Performance
180 Degrees Consulting,340.0,02.24.2025,Professional - Finance/Business
Quizbowl,75.0,02.24.2025,Academic
Strikers Club,174.0,02.24.2025,Sports/Fitness
Gaucho Marks,1095.0,02.24.2025,Publication
Horizons Incentive Program,55.0,02.24.2025,UCSB Programs
Environmental Leadership Incubator,1389.99,02.24.2025,Sustainability/Environment
Fashion Club,271.93,02.24.2025,Recreational/Social
Dhadkan,2200.0,02.24.2025,Arts/Performance
Dhadkan,600.0,02.24.2025,Arts/Performance
AS External Vice President for Statewide Affairs,37390.0,02.24.2025,Associated Students
Collegiate Chapter of SAE International AKA Gaucho Racing,21500.0,02.24.2025,Professional - STEM
Mold Kits IVTU,18802.38,02.24.2025,Associated Students
Triathlon,750.0,03.03.2025,Sports/Fitness
Investment Connection,1188.0,03.03.2025,Professional - Finance/Business
Student Veterans Organization,141.0,03.03.2025,Academic
Women in Computer Science,192.78,03.03.2025,Professional - STEM
Gauchos Go Green,490.0,03.03.2025,Sustainability/Environment
Alpha Kappa Alpha,50.0,03.03.2025,Fraternity/Sorority
Ski and Snowboarding,1450.0,03.03.2025,Sports/Fitness
Sigma Alpha Zeta Multicultural,74.0,03.03.2025,Fraternity/Sorority
Chinese Student Union,553.5,03.03.2025,Cultural
Astronomy Society,218.51,03.03.2025,Academic
Cheer,5000.0,03.03.2025,Sports/Fitness
Film Co-op,8700.0,03.03.2025,Arts/Performance
Gaucho Rocket Project,3600.0,03.03.2025,Professional - STEM
Men's Volleyball,6440.0,03.03.2025,Sports/Fitness
Taiwanese American Student Association,65.0,03.03.2025,Cultural
Society of Cosmetic Chemist:  Chapter,150.0,03.03.2025,Professional - STEM
Nigerian Students Association,13105.0,03.03.2025,Cultural
180 Degrees Consulting,150.0,03.03.2025,Professional - Finance/Business
Chabad,63845.0,03.03.2025,Religious
Untitled Dance Company,1350.0,03.03.2025,Arts/Performance
Science Olympiad,372.0,03.03.2025,Professional - STEM
American Society of Mechanical Engineers,7278.8,03.03.2025,Professional - STEM
Office of Teaching and Learning,4320.0,03.03.2025,UCSB Programs
Debate,5000.0,10.07.2024,Professional - Civic
Untitled Dance Company,1225.0,10.07.2024,Arts/Performance
Sigma Alpha Zeta Multicultural,3200.0,10.07.2024,Fraternity/Sorority
Association for Computing Machinery,537.5,10.07.2024,Professional - STEM
Model United Nations,5000.0,10.07.2024,Professional - Civic
UCSBreakin',850.0,10.07.2024,Arts/Performance
Pre-Law Society,250.0,10.07.2024,Professional - Civic
Pre-Law Society,-250.0,10.07.2024,Professional - Civic
Mock Trial,4728.0,10.07.2024,Professional - Civic
Moot Court,4935.32,10.07.2024,Professional - Civic
Undergraduate Diversity and Inclusion in Physics,257.28,10.07.2024,Professional - STEM
Pre-Law Society,590.0,10.07.2024,Professional - Civic
Sociology Association,82.0,10.07.2024,Academic
Association for Computing Machinery,140.0,10.07.2024,Professional - STEM
REALITY,250.0,10.07.2024,Arts/Performance
Cube Club,6051.9,10.07.2024,Recreational/Social
gauchoCatholic,8145.5,10.07.2024,Religious
Finance Connection,2170.64,10.07.2024,Professional - Finance/Business
Gaucho Gaming,3603.86,10.07.2024,Recreational/Social
Laughology,4650.0,10.07.2024,Arts/Performance
Taara,825.0,10.07.2024,Arts/Performance
Society of Cosmetic Chemist:  Chapter,200.0,10.07.2024,Professional - STEM
Collegiate Chapter of SAE International AKA Gaucho Racing,14869.0,10.07.2024,Professional - STEM
Collaborate Student Support Center,60.0,10.07.2024,UCSB Programs
Gaucho Creative Marketing Group,800.0,10.14.2024,Professional - Finance/Business
Society of Cosmetic Chemist:  Chapter,150.0,10.14.2024,Professional - STEM
Arts and Crafts,129.0,10.14.2024,Arts/Performance
Association for Computing Machinery,100.0,10.14.2024,Professional - STEM
Girl Up,135.0,10.14.2024,Community Service
Girl Up,900.0,10.14.2024,Community Service
Girl Up,140.0,10.14.2024,Community Service
Girl Up,420.0,10.14.2024,Community Service
Association for Computing Machinery,325.0,10.14.2024,Professional - STEM
Finance Connection,3125.0,10.14.2024,Professional - Finance/Business
Anthropology Club,530.16,10.14.2024,Academic
Korean American Student Association,180.0,10.14.2024,Cultural
Kids in Nutrition,922.05,10.14.2024,Community Service
Chemistry Club,4533.57,10.14.2024,Professional - STEM
BFOM A Capella,300.0,10.14.2024,Arts/Performance
Sociology Association,49.0,10.14.2024,Academic
Korean American Student Association,250.0,10.14.2024,Cultural
Taiwanese American Student Association,105.0,10.14.2024,Cultural
Taiwanese Student Association,855.6,10.21.2024,Cultural
Students for Justice in Palestine,4700.0,10.21.2024,Politics/Activism
Educational Opportunity Program,5000.0,10.21.2024,UCSB Programs
Taara,2500.0,10.21.2024,Arts/Performance
Taiwanese American Student Association,500.0,10.21.2024,Cultural
Ski and Snowboarding,1025.0,10.21.2024,Sports/Fitness
Chabad,3665.0,10.21.2024,Religious
Chemistry Club,3495.0,10.21.2024,Professional - STEM
Chemistry Club,466.43,10.21.2024,Professional - STEM
Investment Connection,2292.0,10.21.2024,Professional - Finance/Business
VocalMotion,1850.0,10.28.2024,Arts/Performance
Pre-Law Society,180.0,10.28.2024,Professional - Civic
Phi Delta Epsilon,82.78,10.28.2024,Fraternity/Sorority
Girl Up,64.0,10.28.2024,Community Service
Girl Up,250.0,10.28.2024,Community Service
Physics Organization for Innovation and Technology,701.0,10.28.2024,Professional - STEM
Ethics Bowl,4960.0,10.28.2024,Professional - Civic
Dancesport,100.0,10.28.2024,Arts/Performance
REALITY,900.0,10.28.2024,Arts/Performance
Sociology Association,177.0,10.28.2024,Academic
Alpha Kappa Psi,550.0,10.28.2024,Fraternity/Sorority
Google Developers Group,54.1,10.28.2024,Professional - STEM
Women's Soccer,3000.0,11.04.2024,Sports/Fitness
International Student Association,2000.0,11.04.2024,Cultural
International Student Association,-2000.0,11.04.2024,Cultural
International Student Association,2000.0,11.04.2024,Cultural
Persian Student Group,45.5,11.04.2024,Cultural
AS External Vice President for Statewide Affairs,2600.0,11.04.2024,Associated Students
Google Developers Group,94.22,11.04.2024,Professional - STEM
Institute of Electrical and Electronics Engineers,5500.0,11.04.2024,Professional - STEM
Laughology,300.0,11.04.2024,Arts/Performance
Gaucho Gaming,76.26,11.04.2024,Recreational/Social
Agni,650.0,11.04.2024,Arts/Performance
Black Student Union,15870.69,11.04.2024,Cultural
Association for Computing Machinery,2395.74,11.04.2024,Professional - STEM
SB Creative Lab,75.25,11.04.2024,Academic
Collegiate Chapter of SAE International AKA Gaucho Racing,4526.8,11.04.2024,Professional - STEM
BFOM A Capella,1550.0,11.04.2024,Arts/Performance
Indus,7149.83,11.04.2024,Cultural
Kristos Campus Missions,5000.0,11.18.2024,Religious
Your Children's Trees,5400.0,11.18.2024,Community Service
Ravaani,780.0,11.18.2024,Arts/Performance
Women in Media,19486.0,11.18.2024,Arts/Performance
Association for Computing Machinery,270.0,11.18.2024,Professional - STEM
Black Student Union,8200.0,11.18.2024,Cultural
Chinese Students and Scholars Association,976.67,11.18.2024,Cultural
Taara,17116.0,11.18.2024,Arts/Performance
SB Hacks,35000.0,11.18.2024,Professional - STEM
gauchoCatholic,500.0,11.18.2024,Religious
Society of Cosmetic Chemist:  Chapter,200.0,11.18.2024,Professional - STEM
Dhadkan,2400.0,11.18.2024,Arts/Performance
180 Degrees Consulting,500.0,11.18.2024,Professional - Finance/Business
Men's Soccer,13560.0,11.18.2024,Sports/Fitness
AS External Vice President for Statewide Affairs,9000.0,11.18.2024,Associated Students
Model United Nations,1120.0,11.25.2024,Professional - Civic
Dance Team,5000.0,11.25.2024,Arts/Performance
Institute of Electrical and Electronics Engineers,2327.0,11.25.2024,Professional - STEM
Persian Student Group,10000.0,11.25.2024,Cultural
Persian Student Group,10000.0,11.25.2024,Cultural
Engineers Without Borders,1453.75,11.25.2024,Professional - STEM
"Tricking, Parkour, & Tumbling Club",40.0,11.25.2024,Sports/Fitness
Chinese Student Union,125.0,11.25.2024,Cultural
SB Hacks,3000.0,11.25.2024,Professional - STEM
Muslim Student Association,1500.0,11.25.2024,Religious
Horizons Incentive Program,150.0,11.25.2024,UCSB Programs
Chemistry Club,1939.44,11.25.2024,Professional - STEM
Residential & Community Living,2500.0,11.25.2024,UCSB Program
Alpha Kappa Psi,2739.4,11.25.2024,Fraternity/Sorority
Gaucho Creative Marketing Group,500.0,11.25.2024,Professional - Finance/Business
